Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code,Gender,Name,City,State Code,State_x,Zip Code,Country_x,Continent,Birthday,Country_y,State_y,Square Meters,Open Date,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category
367005,3,1/2/2016,1/10/2016,758280,0,1674,8,EUR,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,Online,Online,1347.5,2010-01-01,MGS Hand Games for students E400 Red,Tailspin Toys,Red,3.56,6.99,701,Boxed Games,7,Games and Toys
367005,4,1/2/2016,1/10/2016,758280,0,2511,9,EUR,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,Online,Online,1347.5,2010-01-01,Contoso Original K1m Li-Ion Standard Battery E170 Silver,Contoso,Silver,2.07,4.06,505,Cell phones Accessories,5,Cell phones
367005,5,1/2/2016,1/10/2016,758280,0,1720,2,EUR,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,Online,Online,1347.5,2010-01-01,MGS Zoo Tycoon 2: African Adventure M280,Tailspin Toys,Black,32.25,70.13,702,Download Games,7,Games and Toys
367005,6,1/2/2016,1/10/2016,758280,0,1597,7,EUR,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,Online,Online,1347.5,2010-01-01,SV DVD External DVD Burner M200 Black,Southridge Video,Black,26.62,57.88,602,Movie DVD,6,"Music, Movies and Audio Books"
367005,7,1/2/2016,1/10/2016,758280,0,784,1,EUR,Male,Adolfo Genovesi,Teglia,GE,Genova,16161,Italy,Europe,1993-07-29,Online,Online,1347.5,2010-01-01,Contoso Laptop Starter Bundle M200 White,Contoso,White,7.59,16.5,308,Computers Accessories,3,Computers
367028,1,1/2/2016,1/11/2016,607356,0,976,1,EUR,Female,Fanette Michaud,AURILLAC,AU,Auvergne,15000,France,Europe,1989-07-06,Online,Online,1347.5,2010-01-01,A. Datum All in One Digital Camera M200 Pink,A. Datum,Pink,86.45,188.0,401,Digital Cameras,4,Cameras and camcorders
367028,2,1/2/2016,1/11/2016,607356,0,2017,3,EUR,Female,Fanette Michaud,AURILLAC,AU,Auvergne,15000,France,Europe,1989-07-06,Online,Online,1347.5,2010-01-01,Fabrikam Microwave 0.9CuFt E0900 Blue,Fabrikam,Blue,50.98,99.99,803,Microwaves,8,Home Appliances
367031,1,1/2/2016,1/7/2016,909014,0,120,3,GBP,Female,Tegan Macdonald,WESTON UNDER PENYARD,Hereford,Hereford,HR9 6LU,United Kingdom,Europe,1954-10-19,Online,Online,1347.5,2010-01-01,"Adventure Works 13"" Color TV E25 Black",Adventure Works,Black,61.17,119.99,201,Televisions,2,TV and Video
367031,2,1/2/2016,1/7/2016,909014,0,382,2,GBP,Female,Tegan Macdonald,WESTON UNDER PENYARD,Hereford,Hereford,HR9 6LU,United Kingdom,Europe,1954-10-19,Online,Online,1347.5,2010-01-01,Adventure Works Laptop12 M1201 Red,Adventure Works,Red,195.24,382.95,301,Laptops,3,Computers
367031,3,1/2/2016,1/7/2016,909014,0,1722,3,GBP,Female,Tegan Macdonald,WESTON UNDER PENYARD,Hereford,Hereford,HR9 6LU,United Kingdom,Europe,1954-10-19,Online,Online,1347.5,2010-01-01,MGS Zoo Tycoon 2: End range Species Expansion Pack E105,Tailspin Toys,Silver,28.55,56.0,702,Download Games,7,Games and Toys
367031,4,1/2/2016,1/7/2016,909014,0,132,1,GBP,Female,Tegan Macdonald,WESTON UNDER PENYARD,Hereford,Hereford,HR9 6LU,United Kingdom,Europe,1954-10-19,Online,Online,1347.5,2010-01-01,"Adventure Works 20"" Analog CRT TV E45 Brown",Adventure Works,Brown,101.97,200.0,201,Televisions,2,TV and Video
369011,1,1/4/2016,1/9/2016,1664824,0,1261,2,USD,Female,Barbara Hawkins,West Allis,WI,Wisconsin,53227,United States,North America,1954-06-24,Online,Online,1347.5,2010-01-01,Contoso Multi-Use Terminal Cable E308 White,Contoso,White,18.86,36.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders
369012,1,1/4/2016,1/13/2016,1696695,0,1423,3,USD,Male,Virgil Rowland,Akron,OH,Ohio,44311,United States,North America,2001-10-07,Online,Online,1347.5,2010-01-01,The Phone Company Touch Screen Phones - CRT M11 Black,The Phone Company,Black,86.91,189.0,503,Touch Screen Phones,5,Cell phones
369012,2,1/4/2016,1/13/2016,1696695,0,1656,1,USD,Male,Virgil Rowland,Akron,OH,Ohio,44311,United States,North America,2001-10-07,Online,Online,1347.5,2010-01-01,Contoso DVD 9-Inch Player Portable M300 White,Contoso,White,73.57,159.99,602,Movie DVD,6,"Music, Movies and Audio Books"
369012,3,1/4/2016,1/13/2016,1696695,0,1660,2,USD,Male,Virgil Rowland,Akron,OH,Ohio,44311,United States,North America,2001-10-07,Online,Online,1347.5,2010-01-01,Contoso DVD 15-Inch Player Portable L200 White,Contoso,White,96.08,289.99,602,Movie DVD,6,"Music, Movies and Audio Books"
369012,4,1/4/2016,1/13/2016,1696695,0,1610,6,USD,Male,Virgil Rowland,Akron,OH,Ohio,44311,United States,North America,2001-10-07,Online,Online,1347.5,2010-01-01,SV DVD 15-Inch Player Portable L200 Silver,Southridge Video,Silver,96.08,289.99,602,Movie DVD,6,"Music, Movies and Audio Books"
371004,1,1/6/2016,1/14/2016,1378439,0,1305,8,USD,Female,Maria Reid,Jackson,MS,Mississippi,39213,United States,North America,1992-07-27,Online,Online,1347.5,2010-01-01,Contoso Lens Adapter M450 Silver,Contoso,Silver,31.27,68.0,406,Cameras & Camcorders Accessories,4,Cameras and camcorders
371006,1,1/6/2016,1/15/2016,1501383,0,1279,1,USD,Male,William Romriell,Dallas,TX,Texas,75240,United States,North America,1995-10-11,Online,Online,1347.5,2010-01-01,Contoso General Soft Carrying Case E318 Black,Contoso,Black,7.64,14.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders
371007,1,1/6/2016,1/18/2016,1378439,0,1639,1,USD,Female,Maria Reid,Jackson,MS,Mississippi,39213,United States,North America,1992-07-27,Online,Online,1347.5,2010-01-01,Contoso DVD 38 DVD Storage Binder E25 Red,Contoso,Red,5.09,9.99,602,Movie DVD,6,"Music, Movies and Audio Books"
371011,1,1/6/2016,1/14/2016,776266,0,458,5,EUR,Male,Giorgio Ferrari,Gorgona Isola,LI,Livorno,57030,Italy,Europe,1973-11-04,Online,Online,1347.5,2010-01-01,WWI Desktop PC1.80 E1800 White,Wide World Importers,White,117.21,229.9,303,Desktops,3,Computers
371011,2,1/6/2016,1/14/2016,776266,0,1573,3,EUR,Male,Giorgio Ferrari,Gorgona Isola,LI,Livorno,57030,Italy,Europe,1973-11-04,Online,Online,1347.5,2010-01-01,SV DVD Player M120 White,Southridge Video,White,27.13,58.99,602,Movie DVD,6,"Music, Movies and Audio Books"
371011,3,1/6/2016,1/14/2016,776266,0,32,5,EUR,Male,Giorgio Ferrari,Gorgona Isola,LI,Livorno,57030,Italy,Europe,1973-11-04,Online,Online,1347.5,2010-01-01,Contoso 32GB Video MP3 Player M3200 Pink,Contoso,Pink,84.49,255.0,101,MP4&MP3,1,Audio
371015,1,1/6/2016,1/14/2016,1669745,0,1679,5,USD,Male,James Anderson,Tallahassee,FL,Florida,32303,United States,North America,1961-09-09,Online,Online,1347.5,2010-01-01,MGS Hand Games for kids E300 Silver,Tailspin Toys,Silver,2.8,5.5,701,Boxed Games,7,Games and Toys
371015,2,1/6/2016,1/14/2016,1669745,0,1659,1,USD,Male,James Anderson,Tallahassee,FL,Florida,32303,United States,North America,1961-09-09,Online,Online,1347.5,2010-01-01,Contoso DVD 14-Inch Player Portable L100 White,Contoso,White,86.14,259.99,602,Movie DVD,6,"Music, Movies and Audio Books"
371015,3,1/6/2016,1/14/2016,1669745,0,1228,1,USD,Male,James Anderson,Tallahassee,FL,Florida,32303,United States,North America,1961-09-09,Online,Online,1347.5,2010-01-01,"Fabrikam Independent Filmmaker 1"" 25mm X400 Blue",Fabrikam,Blue,536.74,1620.0,405,Camcorders,4,Cameras and camcorders
371015,4,1/6/2016,1/14/2016,1669745,0,1458,4,USD,Male,James Anderson,Tallahassee,FL,Florida,32303,United States,North America,1961-09-09,Online,Online,1347.5,2010-01-01,The Phone Company Touch Screen Phones - LCD M12 Gold,The Phone Company,Gold,91.97,200.0,503,Touch Screen Phones,5,Cell phones
372000,1,1/7/2016,1/22/2016,1413890,0,148,3,USD,Female,Jena Zimmerman,Aloha,OR,Oregon,97007,United States,North America,1999-01-14,Online,Online,1347.5,2010-01-01,"Adventure Works 52"" LCD HDTV X590 Brown",Adventure Works,Brown,960.82,2899.99,201,Televisions,2,TV and Video
372000,2,1/7/2016,1/22/2016,1413890,0,1620,1,USD,Female,Jena Zimmerman,Aloha,OR,Oregon,97007,United States,North America,1999-01-14,Online,Online,1347.5,2010-01-01,Contoso DVD Player M140 Gold,Contoso,Gold,28.05,60.99,602,Movie DVD,6,"Music, Movies and Audio Books"
372000,3,1/7/2016,1/22/2016,1413890,0,825,3,USD,Female,Jena Zimmerman,Aloha,OR,Oregon,97007,United States,North America,1999-01-14,Online,Online,1347.5,2010-01-01,Contoso Reserve Pen - Tablet Pen E200 Grey,Contoso,Grey,7.09,13.9,308,Computers Accessories,3,Computers
372006,1,1/7/2016,1/15/2016,2095742,0,125,2,USD,Female,Michelle KrÃÂ¼ger,Gooding,ID,Idaho,83330,United States,North America,1942-08-03,Online,Online,1347.5,2010-01-01,"Adventure Works 19"" Color Digital TV E35 Silver",Adventure Works,Silver,73.11,143.4,201,Televisions,2,TV and Video
373000,1,1/8/2016,1/14/2016,1367439,0,2509,3,USD,Female,Tammy Overall,Escondido,CA,California,92025,United States,North America,1999-05-27,Online,Online,1347.5,2010-01-01,Contoso Original K1m Li-Ion Standard Battery E170 Black,Contoso,Black,2.07,4.06,505,Cell phones Accessories,5,Cell phones
373000,2,1/8/2016,1/14/2016,1367439,0,716,3,USD,Female,Tammy Overall,Escondido,CA,California,92025,United States,North America,1999-05-27,Online,Online,1347.5,2010-01-01,Proseware High Speed Laser M2000 White,Proseware,White,69.25,209.0,306,"Printers, Scanners & Fax",3,Computers
373007,1,1/8/2016,1/14/2016,351747,0,103,2,CAD,Female,Irene Lee,Toronto,ON,Ontario,M4W 1J7,Canada,North America,1986-11-05,Online,Online,1347.5,2010-01-01,WWI Wireless Bluetooth Stereo Headphones M270 Black,Wide World Importers,Black,52.88,115.0,106,Bluetooth Headphones,1,Audio
373007,2,1/8/2016,1/14/2016,351747,0,1455,5,CAD,Female,Irene Lee,Toronto,ON,Ontario,M4W 1J7,Canada,North America,1986-11-05,Online,Online,1347.5,2010-01-01,The Phone Company Pen Touch Screen Phones M320 Gold,The Phone Company,Gold,133.36,290.0,503,Touch Screen Phones,5,Cell phones
373007,3,1/8/2016,1/14/2016,351747,0,1902,2,CAD,Female,Irene Lee,Toronto,ON,Ontario,M4W 1J7,Canada,North America,1986-11-05,Online,Online,1347.5,2010-01-01,Fabrikam Refrigerator 1.7CuFt E1200 White,Fabrikam,White,66.27,129.99,802,Refrigerators,8,Home Appliances
373009,1,1/8/2016,1/19/2016,1064519,0,1589,4,GBP,Female,Matilda Dobson,SHOLDEN,Kent,Kent,CT14 4WY,United Kingdom,Europe,1956-02-02,Online,Online,1347.5,2010-01-01,SV DVD 38 DVD Storage Binder E25 Silver,Southridge Video,Silver,5.09,9.99,602,Movie DVD,6,"Music, Movies and Audio Books"
374012,1,1/9/2016,1/20/2016,1758208,0,1280,1,USD,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,United States,North America,1995-05-12,Online,Online,1347.5,2010-01-01,Contoso General Soft Carrying Case E318 Silver,Contoso,Silver,7.64,14.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders
374012,2,1/9/2016,1/20/2016,1758208,0,1276,1,USD,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,United States,North America,1995-05-12,Online,Online,1347.5,2010-01-01,Contoso Digital Cameras Lightweight Tripod E316 Pink,Contoso,Pink,26.58,52.13,406,Cameras & Camcorders Accessories,4,Cameras and camcorders
374012,3,1/9/2016,1/20/2016,1758208,0,2454,5,USD,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,United States,North America,1995-05-12,Online,Online,1347.5,2010-01-01,Litware Desktop Wind Tower Oscillating Fan E1201 White,Litware,White,15.29,29.99,808,Fans,8,Home Appliances
374012,4,1/9/2016,1/20/2016,1758208,0,2108,1,USD,Male,Christopher Lopp,Plymouth,IN,Indiana,46563,United States,North America,1995-05-12,Online,Online,1347.5,2010-01-01,Contoso Water Heater 2.6GPM E0900 Grey,Contoso,Grey,258.99,508.0,804,Water Heaters,8,Home Appliances
375000,1,1/10/2016,1/18/2016,1084570,0,1636,1,GBP,Male,Leon Harper,WADDINGHAM,West Lindsey,West Lindsey,DN21 1YS,United Kingdom,Europe,1997-09-19,Online,Online,1347.5,2010-01-01,Contoso DVD 55DVD Storage Binder M56 Silver,Contoso,Silver,5.82,12.66,602,Movie DVD,6,"Music, Movies and Audio Books"
375000,2,1/10/2016,1/18/2016,1084570,0,88,7,GBP,Male,Leon Harper,WADDINGHAM,West Lindsey,West Lindsey,DN21 1YS,United Kingdom,Europe,1997-09-19,Online,Online,1347.5,2010-01-01,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,Black,49.69,149.99,106,Bluetooth Headphones,1,Audio
375000,3,1/10/2016,1/18/2016,1084570,0,2515,1,GBP,Male,Leon Harper,WADDINGHAM,West Lindsey,West Lindsey,DN21 1YS,United Kingdom,Europe,1997-09-19,Online,Online,1347.5,2010-01-01,Contoso In-Line Coupler E180 White,Contoso,White,1.71,3.35,505,Cell phones Accessories,5,Cell phones
377006,1,1/12/2016,1/20/2016,934781,0,1432,1,GBP,Female,Abigail Savage,SWINHOPE,Lincoln,Lincoln,LN3 0PF,United Kingdom,Europe,1939-10-12,Online,Online,1347.5,2010-01-01,The Phone Company Touch Screen Phones Infrared M901 Grey,The Phone Company,Grey,137.96,300.0,503,Touch Screen Phones,5,Cell phones
377006,2,1/12/2016,1/20/2016,934781,0,1580,1,GBP,Female,Abigail Savage,SWINHOPE,Lincoln,Lincoln,LN3 0PF,United Kingdom,Europe,1939-10-12,Online,Online,1347.5,2010-01-01,SV DVD Recorder L230 Grey,Southridge Video,Grey,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books"
377006,3,1/12/2016,1/20/2016,934781,0,1462,1,GBP,Female,Abigail Savage,SWINHOPE,Lincoln,Lincoln,LN3 0PF,United Kingdom,Europe,1939-10-12,Online,Online,1347.5,2010-01-01,Contoso Touch Screen Phones 4-Wire/ Built-in M205 Black,Contoso,Black,123.24,268.0,503,Touch Screen Phones,5,Cell phones
377006,4,1/12/2016,1/20/2016,934781,0,1936,1,GBP,Female,Abigail Savage,SWINHOPE,Lincoln,Lincoln,LN3 0PF,United Kingdom,Europe,1939-10-12,Online,Online,1347.5,2010-01-01,Fabrikam Refrigerator 4.6CuFt E2800 Orange,Fabrikam,Orange,152.94,299.99,802,Refrigerators,8,Home Appliances
377006,5,1/12/2016,1/20/2016,934781,0,1007,1,GBP,Female,Abigail Savage,SWINHOPE,Lincoln,Lincoln,LN3 0PF,United Kingdom,Europe,1939-10-12,Online,Online,1347.5,2010-01-01,A. Datum Consumer Digital Camera E100 Orange,A. Datum,Orange,143.26,281.0,401,Digital Cameras,4,Cameras and camcorders
377006,6,1/12/2016,1/20/2016,934781,0,320,1,GBP,Female,Abigail Savage,SWINHOPE,Lincoln,Lincoln,LN3 0PF,United Kingdom,Europe,1939-10-12,Online,Online,1347.5,2010-01-01,SV Car Video LCD7W M7082 Silver,Southridge Video,Silver,321.44,699.0,205,Car Video,2,TV and Video
379002,1,1/14/2016,1/24/2016,716015,0,106,2,EUR,Male,Tarquinio Giordano,Borgo Sant'Antonio Abate,CE,Caserta,81040,Italy,Europe,1985-06-21,Online,Online,1347.5,2010-01-01,WWI Stereo Bluetooth Headphones New Generation M370 Black,Wide World Importers,Black,61.16,132.99,106,Bluetooth Headphones,1,Audio
379002,2,1/14/2016,1/24/2016,716015,0,386,2,EUR,Male,Tarquinio Giordano,Borgo Sant'Antonio Abate,CE,Caserta,81040,Italy,Europe,1985-06-21,Online,Online,1347.5,2010-01-01,Adventure Works Laptop19W X1980 Blue,Adventure Works,Blue,430.38,1299.0,301,Laptops,3,Computers
379002,3,1/14/2016,1/24/2016,716015,0,1654,3,EUR,Male,Tarquinio Giordano,Borgo Sant'Antonio Abate,CE,Caserta,81040,Italy,Europe,1985-06-21,Online,Online,1347.5,2010-01-01,Contoso DVD 14-Inch Player Portable L100 Silver,Contoso,Silver,86.14,259.99,602,Movie DVD,6,"Music, Movies and Audio Books"
379004,1,1/14/2016,1/27/2016,245912,0,321,2,CAD,Female,Evelyn Lavender,Calgary,AB,Alberta,T2P 0W4,Canada,North America,1959-11-29,Online,Online,1347.5,2010-01-01,SV Car Video LCD7 M7001 Silver,Southridge Video,Silver,151.3,329.0,205,Car Video,2,TV and Video
381002,1,1/16/2016,1/26/2016,2042097,0,1283,1,USD,Male,Tom Kohler,Arlington,TX,Texas,76011,United States,North America,1986-12-19,Online,Online,1347.5,2010-01-01,Contoso Mini Battery Charger Kit E320 White,Contoso,White,12.74,24.99,406,Cameras & Camcorders Accessories,4,Cameras and camcorders
381002,2,1/16/2016,1/26/2016,2042097,0,1345,1,USD,Male,Tom Kohler,Arlington,TX,Texas,76011,United States,North America,1986-12-19,Online,Online,1347.5,2010-01-01,Contoso 4-Line Expandable Cordless Phone System M900 Black,Contoso,Black,10.12,22.0,501,Home & Office Phones,5,Cell phones
381002,3,1/16/2016,1/26/2016,2042097,0,2510,2,USD,Male,Tom Kohler,Arlington,TX,Texas,76011,United States,North America,1986-12-19,Online,Online,1347.5,2010-01-01,Contoso Original K1m Li-Ion Standard Battery E170 White,Contoso,White,2.07,4.06,505,Cell phones Accessories,5,Cell phones
381012,1,1/16/2016,1/23/2016,2072376,0,1759,2,USD,Female,Claire Kaeppel,Rapid City,SD,South Dakota,57702,United States,North America,2000-05-17,Online,Online,1347.5,2010-01-01,MGS MechWarrior 4: Vengeance X800,Tailspin Toys,Purple,34.75,104.89,702,Download Games,7,Games and Toys
381012,2,1/16/2016,1/23/2016,2072376,0,1684,7,USD,Female,Claire Kaeppel,Rapid City,SD,South Dakota,57702,United States,North America,2000-05-17,Online,Online,1347.5,2010-01-01,MGS Hand Games for Office worker L299 Silver,Tailspin Toys,Silver,5.6,16.89,701,Boxed Games,7,Games and Toys
381013,1,1/16/2016,1/21/2016,1984685,0,1583,1,USD,Female,Ashley Ruvalcaba,Tampa,FL,Florida,33614,United States,North America,1944-11-28,Online,Online,1347.5,2010-01-01,SV DVD 58 DVD Storage Binder M55 Black,Southridge Video,Black,6.39,13.89,602,Movie DVD,6,"Music, Movies and Audio Books"
381013,2,1/16/2016,1/21/2016,1984685,0,584,8,USD,Female,Ashley Ruvalcaba,Tampa,FL,Florida,33614,United States,North America,1944-11-28,Online,Online,1347.5,2010-01-01,Contoso Screen 100in E010 Black,Contoso,Black,62.95,190.0,305,Projectors & Screens,3,Computers
384004,1,1/19/2016,1/28/2016,1316297,0,1150,2,USD,Male,Timothy Santillo,Milwaukee,WI,Wisconsin,53202,United States,North America,1978-07-24,Online,Online,1347.5,2010-01-01,Fabrikam Budget Movie-Maker 1/3'' 8.5mm E200 Black,Fabrikam,Black,209.54,411.0,405,Camcorders,4,Cameras and camcorders
384004,2,1/19/2016,1/28/2016,1316297,0,1578,6,USD,Male,Timothy Santillo,Milwaukee,WI,Wisconsin,53202,United States,North America,1978-07-24,Online,Online,1347.5,2010-01-01,SV DVD Recorder L210 Silver,Southridge Video,Silver,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books"
385000,1,1/20/2016,1/25/2016,1110691,0,1586,8,GBP,Female,Anna Knight,BALGAVIES,Angus,Angus,DD8 5DG,United Kingdom,Europe,1970-04-12,Online,Online,1347.5,2010-01-01,SV DVD 55DVD Storage Binder M56 Black,Southridge Video,Black,5.82,12.66,602,Movie DVD,6,"Music, Movies and Audio Books"
385000,2,1/20/2016,1/25/2016,1110691,0,1427,5,GBP,Female,Anna Knight,BALGAVIES,Angus,Angus,DD8 5DG,United Kingdom,Europe,1970-04-12,Online,Online,1347.5,2010-01-01,"The Phone Company Touch Screen Phones 26-2.2"" M200 Grey",The Phone Company,Grey,105.77,230.0,503,Touch Screen Phones,5,Cell phones
385000,3,1/20/2016,1/25/2016,1110691,0,166,3,GBP,Female,Anna Knight,BALGAVIES,Angus,Angus,DD8 5DG,United Kingdom,Europe,1970-04-12,Online,Online,1347.5,2010-01-01,SV 16xDVD M300 Black,Southridge Video,Black,54.72,119.0,202,VCD & DVD,2,TV and Video
386001,1,1/21/2016,1/30/2016,1912666,0,1996,2,USD,Female,Jana KlusovÃÂ¡,Washington,MD,Maryland,20008,United States,North America,1975-04-13,Online,Online,1347.5,2010-01-01,Fabrikam Microwave 2.2CuFt M1250 Grey,Fabrikam,Grey,91.97,199.99,803,Microwaves,8,Home Appliances
386001,2,1/21/2016,1/30/2016,1912666,0,1577,1,USD,Female,Jana KlusovÃÂ¡,Washington,MD,Maryland,20008,United States,North America,1975-04-13,Online,Online,1347.5,2010-01-01,SV DVD Recorder L200 Black,Southridge Video,Black,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books"
386005,1,1/21/2016,2/2/2016,345812,0,1600,1,CAD,Male,Grant Barker,Vancouver,BC,British Columbia,V5T 1Z7,Canada,North America,1982-04-11,Online,Online,1347.5,2010-01-01,SV DVD External DVD Burner M200 Silver,Southridge Video,Silver,26.62,57.88,602,Movie DVD,6,"Music, Movies and Audio Books"
386005,2,1/21/2016,2/2/2016,345812,0,237,1,CAD,Male,Grant Barker,Vancouver,BC,British Columbia,V5T 1Z7,Canada,North America,1982-04-11,Online,Online,1347.5,2010-01-01,Litware Home Theater System 5.1 Channel M514 Brown,Litware,Brown,275.46,599.0,203,Home Theater System,2,TV and Video
386011,1,1/21/2016,1/28/2016,541598,0,54,6,EUR,Female,Julia Faber,Kranzberg,BY,Freistaat Bayern,85400,Germany,Europe,1973-06-02,Online,Online,1347.5,2010-01-01,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Red,98.07,296.0,104,Recording Pen,1,Audio
386011,2,1/21/2016,1/28/2016,541598,0,101,2,EUR,Female,Julia Faber,Kranzberg,BY,Freistaat Bayern,85400,Germany,Europe,1973-06-02,Online,Online,1347.5,2010-01-01,WWI Wireless Bluetooth Stereo Headphones M170 Pink,Wide World Importers,Pink,55.18,120.0,106,Bluetooth Headphones,1,Audio
386011,3,1/21/2016,1/28/2016,541598,0,461,3,EUR,Female,Julia Faber,Kranzberg,BY,Freistaat Bayern,85400,Germany,Europe,1973-06-02,Online,Online,1347.5,2010-01-01,Proseware LCD24 X300 Black,Proseware,Black,271.35,819.0,304,Monitors,3,Computers
387000,1,1/22/2016,1/26/2016,224434,0,1729,2,CAD,Female,Ora Cousins,Lacorne,QC,Quebec,J0Y 1R0,Canada,North America,1968-11-02,Online,Online,1347.5,2010-01-01,MGS Rise of Nations: Thrones and Patriots M320,Tailspin Toys,Blue,35.72,77.68,702,Download Games,7,Games and Toys
387000,2,1/22/2016,1/26/2016,224434,0,1599,3,CAD,Female,Ora Cousins,Lacorne,QC,Quebec,J0Y 1R0,Canada,North America,1968-11-02,Online,Online,1347.5,2010-01-01,SV DVD External DVD Burner M200 Blue,Southridge Video,Blue,26.62,57.88,602,Movie DVD,6,"Music, Movies and Audio Books"
387000,3,1/22/2016,1/26/2016,224434,0,1622,1,CAD,Female,Ora Cousins,Lacorne,QC,Quebec,J0Y 1R0,Canada,North America,1968-11-02,Online,Online,1347.5,2010-01-01,Contoso DVD Recorder L200 Black,Contoso,Black,72.56,219.0,602,Movie DVD,6,"Music, Movies and Audio Books"
387000,4,1/22/2016,1/26/2016,224434,0,55,6,CAD,Female,Ora Cousins,Lacorne,QC,Quebec,J0Y 1R0,Canada,North America,1968-11-02,Online,Online,1347.5,2010-01-01,WWI 4GB Video Recording Pen X200 Pink,Wide World Importers,Pink,98.07,296.0,104,Recording Pen,1,Audio
